Freelancer_ID,Job_Category,Platform,Experience_Level,Client_Region,Payment_Method,Job_Completed,Earnings_USD,Hourly_Rate,Job_Success_Rate,Client_Rating,Job_Duration_Days,Project_Type,Rehire_Rate,Marketing_Spend
50,"Content Writing",Upwork,Expert,"Middle East","Mobile Banking",40,4428,26.54,59.24,3.56,62,Fixed,26.37,121
51,SEO,PeoplePerHour,Beginner,"Middle East",PayPal,116,7277,8.34,98.48,3.52,84,Hourly,11.66,320
52,"App Development",Toptal,Intermediate,Australia,Crypto,91,6311,10.67,88.76,3.49,64,Fixed,68.45,386
53,"Content Writing",Upwork,Expert,USA,PayPal,187,472,40.48,96.97,4.81,57,Hourly,78.23,457
54,"Digital Marketing",Fiverr,Expert,"Middle East",PayPal,89,8772,12.37,94.74,3.5,68,Hourly,19.48,420
55,"Web Development",Fiverr,Expert,UK,"Bank Transfer",273,140,61.68,79.89,3.54,46,Fixed,26.2,382
56,"Data Entry",Upwork,Beginner,Europe,PayPal,169,3422,66.49,96.09,4.52,28,Hourly,70.79,491
57,"App Development",PeoplePerHour,Expert,"Middle East",Crypto,94,6086,40.48,54.42,3.9,77,Fixed,74.85,86
58,"Web Development",Toptal,Intermediate,UK,"Bank Transfer",242,1992,75.57,59.8,4.55,3,Fixed,39.37,288
59,"Data Entry",Freelancer,Expert,"Middle East",Crypto,26,3855,51.55,52.26,3.13,37,Fixed,13.54,136
60,"Graphic Design",Upwork,Beginner,USA,PayPal,171,9482,45.87,66.27,3.98,48,Fixed,12.76,52
61,"Graphic Design",Toptal,Expert,USA,Crypto,219,147,43.66,69.43,3.07,19,Fixed,50.18,204
62,"Content Writing",Toptal,Beginner,"Middle East",Crypto,62,1529,45.96,63.57,3.13,83,Hourly,37.5,347
63,SEO,Fiverr,Beginner,UK,PayPal,34,4676,96.95,91.44,4.81,17,Fixed,12.01,50
64,"Graphic Design",Freelancer,Intermediate,Europe,PayPal,110,5197,69.73,67.84,3.28,82,Hourly,50.83,326
65,"Customer Support",Upwork,Intermediate,UK,"Bank Transfer",171,3697,34.94,64.05,4.06,82,Fixed,10.79,409
66,"Content Writing",Fiverr,Expert,Europe,"Bank Transfer",158,5493,74.72,77.13,3.82,87,Hourly,65.12,399
67,"App Development",Fiverr,Beginner,"Middle East","Mobile Banking",11,129,36.38,57.05,3.69,40,Hourly,31.45,39
68,"Web Development",PeoplePerHour,Beginner,Europe,"Bank Transfer",201,5627,16.94,90.11,4.8,50,Fixed,12.82,249
69,"Graphic Design",Toptal,Intermediate,Canada,PayPal,50,2273,50.16,53.73,3.04,73,Hourly,51.18,217
70,"Customer Support",Upwork,Intermediate,Australia,Crypto,22,2619,76.35,99.34,4.33,29,Fixed,37.84,178
71,"Web Development",Upwork,Expert,Asia,Crypto,157,4568,40.88,88.61,4.93,51,Fixed,78.17,38
72,"Web Development",Upwork,Beginner,Australia,"Bank Transfer",268,1173,87.57,59.94,4.12,42,Fixed,48.09,182
73,SEO,Fiverr,Intermediate,USA,"Bank Transfer",78,2673,41.76,50.28,4.87,29,Hourly,29.27,223
74,"Graphic Design",PeoplePerHour,Expert,Canada,PayPal,149,1453,38.23,90.77,3.1,66,Hourly,59.66,163
75,"Web Development",Freelancer,Beginner,Australia,Crypto,106,2628,99.83,85.34,3.84,17,Hourly,29,233
76,SEO,Fiverr,Beginner,"Middle East","Mobile Banking",125,381,50.83,86.45,3.52,31,Hourly,73.3,376
77,SEO,Freelancer,Intermediate,Europe,"Mobile Banking",180,7535,81.5,88.56,4.46,52,Fixed,36.23,192
78,"Graphic Design",PeoplePerHour,Expert,Europe,"Bank Transfer",67,789,81.47,53.7,4.96,39,Fixed,48.49,496
79,SEO,Toptal,Intermediate,UK,"Mobile Banking",88,8283,93.01,67.92,3.51,60,Hourly,13.54,84
80,"Graphic Design",Upwork,Expert,UK,PayPal,19,5030,13.07,55.79,4.31,51,Hourly,39.83,460
81,"Customer Support",Freelancer,Beginner,Europe,"Mobile Banking",138,3928,30.77,93.16,3.4,84,Fixed,68.27,242
82,"Graphic Design",Fiverr,Expert,"Middle East","Bank Transfer",125,1999,77.94,81.16,4.13,16,Hourly,66.4,473
83,"Data Entry",Freelancer,Expert,Europe,PayPal,132,3510,58.45,66.54,3.93,14,Fixed,25.7,172
84,"Web Development",Toptal,Expert,UK,Crypto,292,2178,58.16,53.18,4.94,84,Hourly,25.83,392
85,"Customer Support",Upwork,Expert,Australia,PayPal,184,4547,20.79,65.55,4.22,42,Hourly,67.21,36
86,"Digital Marketing",Freelancer,Expert,USA,"Bank Transfer",86,2204,31.71,66.26,3.7,51,Hourly,75.13,86
87,"Graphic Design",Toptal,Intermediate,UK,"Bank Transfer",17,5280,54.53,86.48,3.23,24,Fixed,16.68,128
88,"Web Development",Fiverr,Expert,"Middle East","Mobile Banking",28,7494,31.33,81.88,3.3,82,Fixed,41.5,193
89,"App Development",PeoplePerHour,Expert,Australia,"Mobile Banking",172,1287,24.98,94.36,3.45,43,Hourly,33.62,318
90,SEO,Fiverr,Beginner,Australia,Crypto,274,8747,13.34,73.61,3.5,73,Hourly,70.95,42
91,"Content Writing",Upwork,Expert,Australia,Crypto,74,5290,19.79,55.98,4.7,19,Hourly,15.85,411
92,"Graphic Design",Fiverr,Beginner,Canada,"Bank Transfer",93,4865,78.04,85.66,4.12,84,Hourly,24.78,355
93,SEO,Fiverr,Intermediate,Canada,"Bank Transfer",193,9636,73.28,88.04,4.05,61,Hourly,62.67,158
94,SEO,Fiverr,Intermediate,Asia,"Bank Transfer",261,306,9.35,78.06,3.23,63,Hourly,13.59,104
95,SEO,Fiverr,Expert,Australia,Crypto,221,1770,24.31,88.55,4.72,26,Hourly,44.48,452
96,SEO,Upwork,Intermediate,"Middle East","Bank Transfer",36,7397,58.24,74.69,4.45,35,Hourly,40.95,228
97,SEO,Toptal,Expert,Europe,Crypto,145,7126,35.65,76.14,3.14,67,Fixed,33.41,216
98,"Graphic Design",Freelancer,Intermediate,"Middle East","Bank Transfer",165,1121,83.21,71.38,4.42,56,Fixed,37.62,263
99,"App Development",PeoplePerHour,Expert,Canada,PayPal,36,1672,79.57,51.27,4.09,40,Fixed,47.1,417
100,"Digital Marketing",Freelancer,Expert,UK,PayPal,156,2116,89.7,55.39,3.16,29,Fixed,21.3,486
101,"Data Entry",Freelancer,Beginner,Asia,"Bank Transfer",264,9311,58.48,51.57,3.92,6,Hourly,50.04,48
102,SEO,PeoplePerHour,Beginner,Canada,PayPal,220,8692,38.45,81.82,3.97,52,Fixed,66.38,351
103,SEO,Upwork,Beginner,Europe,Crypto,283,947,62.58,65.72,3.33,1,Fixed,63.21,441
104,"Data Entry",PeoplePerHour,Beginner,USA,"Mobile Banking",289,5225,13.47,75.43,4.89,52,Hourly,20.77,122
105,"App Development",Upwork,Expert,Asia,PayPal,102,8323,5.91,95.38,4.7,24,Fixed,20.45,458
106,"Customer Support",Freelancer,Intermediate,Canada,"Mobile Banking",34,8978,6.62,62.46,4.34,34,Fixed,28.77,302
107,"App Development",Upwork,Expert,"Middle East",PayPal,94,4224,43.72,70.52,3.92,7,Fixed,35.28,24
108,"Customer Support",Toptal,Beginner,Asia,Crypto,152,5831,26.67,87.78,3.82,75,Fixed,38.59,130
109,"Graphic Design",PeoplePerHour,Beginner,"Middle East",PayPal,148,3994,19.95,61.44,4.3,11,Fixed,57.58,428
110,"Web Development",Toptal,Intermediate,Australia,PayPal,71,6476,63.46,53.85,4.09,36,Hourly,13.97,369
111,"Content Writing",Freelancer,Beginner,Australia,"Bank Transfer",62,5485,99.53,64.49,3.12,20,Hourly,12.43,435
112,"Content Writing",PeoplePerHour,Expert,Australia,"Mobile Banking",285,9933,21.89,58.06,4.03,63,Hourly,37.43,223
113,"Web Development",Freelancer,Expert,Asia,"Mobile Banking",283,9421,56.91,96.48,4.61,80,Fixed,58.8,499
114,"Graphic Design",Toptal,Expert,USA,Crypto,240,2985,16.37,90.41,3.92,63,Fixed,23.54,98
115,"Content Writing",Freelancer,Expert,Europe,Crypto,132,5883,93.75,81.67,3.1,69,Fixed,54.91,351
116,"App Development",PeoplePerHour,Expert,Asia,"Mobile Banking",213,8138,32.72,93.57,4.57,88,Hourly,28.19,289
117,"Data Entry",PeoplePerHour,Intermediate,UK,"Bank Transfer",190,511,88.44,90.18,3.4,30,Fixed,72.03,484
118,"Web Development",Freelancer,Expert,"Middle East","Bank Transfer",173,166,31.89,59.33,3.52,30,Fixed,72.7,499
119,"App Development",PeoplePerHour,Beginner,"Middle East","Mobile Banking",176,5835,81.57,94.63,3.33,84,Fixed,30.81,196
120,"Digital Marketing",PeoplePerHour,Beginner,Asia,PayPal,264,6557,24.89,76.97,3.66,22,Fixed,26.1,108
121,"Graphic Design",Freelancer,Beginner,Asia,"Mobile Banking",209,9896,32.81,90.37,4.51,61,Hourly,38.79,347
122,"Web Development",Toptal,Beginner,Europe,PayPal,139,5880,23.29,94.8,4.04,21,Hourly,26.84,219
123,"Content Writing",PeoplePerHour,Intermediate,USA,"Mobile Banking",50,4611,30.1,65.9,3.41,37,Fixed,57.07,263
124,"Graphic Design",PeoplePerHour,Beginner,Asia,PayPal,13,8177,84.31,55.5,4.76,27,Hourly,67.82,410
125,"Data Entry",PeoplePerHour,Intermediate,Australia,"Bank Transfer",165,709,65.71,61.4,4.76,35,Hourly,57.12,207
126,"Graphic Design",PeoplePerHour,Beginner,Europe,"Mobile Banking",293,2172,43.56,71.36,4.74,38,Hourly,67.7,318
127,"Graphic Design",Freelancer,Intermediate,UK,Crypto,110,1636,97.29,90.9,3.48,60,Fixed,37.79,81
128,"Data Entry",Toptal,Intermediate,Australia,PayPal,294,4732,49.16,93.04,3.9,70,Hourly,20.94,24
129,SEO,Toptal,Intermediate,UK,"Bank Transfer",92,6849,97.13,50.35,4.97,32,Hourly,61.66,185
130,"Data Entry",Upwork,Beginner,Canada,Crypto,196,8876,23.68,75.54,4.54,80,Fixed,35.23,431
131,"App Development",PeoplePerHour,Intermediate,UK,"Bank Transfer",157,7037,90.94,70.87,3.05,80,Hourly,56.99,384
132,"Graphic Design",PeoplePerHour,Expert,Australia,PayPal,141,8025,6.31,61.11,3.13,27,Hourly,28.95,7
133,"Customer Support",Upwork,Expert,Canada,"Mobile Banking",277,2932,56.8,55.99,3.93,3,Hourly,15.69,123
134,"Data Entry",Toptal,Beginner,Australia,"Bank Transfer",153,5299,45.19,66.88,4.82,49,Fixed,79.48,148
135,SEO,Fiverr,Expert,"Middle East","Mobile Banking",192,2861,54.88,97.15,4.08,85,Fixed,20.93,97
136,"App Development",Fiverr,Expert,Australia,"Mobile Banking",145,5577,57.58,66.16,4,30,Hourly,79.19,215
137,"Customer Support",Toptal,Expert,Canada,"Bank Transfer",135,1934,41.96,75.94,3.21,22,Fixed,78.41,100
138,"Customer Support",PeoplePerHour,Beginner,UK,"Bank Transfer",8,9760,99.83,85.15,4.31,19,Fixed,65.57,217
139,"Web Development",Fiverr,Beginner,"Middle East","Bank Transfer",267,8863,97.77,68.18,4.64,31,Fixed,56.16,366
140,"Data Entry",Freelancer,Expert,USA,"Mobile Banking",30,5123,96.37,98.59,3.76,20,Hourly,50.45,461
141,"Data Entry",Freelancer,Beginner,USA,Crypto,28,9779,98.01,98.12,4.55,19,Hourly,70.63,412
142,"Graphic Design",Upwork,Intermediate,USA,PayPal,270,5466,80.34,62.59,4.93,2,Fixed,30.26,413
143,"App Development",Toptal,Expert,USA,Crypto,233,5850,98.92,74.86,3.41,40,Hourly,42.74,258
144,"Web Development",Toptal,Beginner,Europe,"Mobile Banking",273,6945,89.77,65.04,4.05,39,Fixed,53.36,390
145,"Digital Marketing",Fiverr,Beginner,USA,"Bank Transfer",129,6365,44.51,64.24,3.57,72,Fixed,38.78,355
146,"Digital Marketing",PeoplePerHour,Expert,Canada,"Bank Transfer",176,4980,79.55,51.84,4.59,54,Hourly,39.92,10
147,"Content Writing",Toptal,Beginner,Asia,PayPal,238,2415,91.65,80.48,4.16,27,Fixed,33.12,415
148,"Data Entry",Fiverr,Expert,USA,PayPal,299,904,72.7,75.13,4.27,79,Fixed,49.5,58
149,"Data Entry",Fiverr,Beginner,Australia,Crypto,279,2778,45.16,52.57,4.6,12,Fixed,69.54,249
150,"Web Development",Toptal,Intermediate,Asia,Crypto,80,965,11.25,63.93,3.79,78,Fixed,24.11,139
151,SEO,Fiverr,Expert,USA,PayPal,218,7223,81.92,95.41,4.83,71,Hourly,75.41,334
152,"Digital Marketing",Upwork,Intermediate,Asia,"Mobile Banking",162,4988,95.51,61.98,4.07,17,Fixed,58.24,37
153,"Content Writing",Upwork,Expert,UK,Crypto,208,181,39.43,57.24,3.32,84,Hourly,67.63,121
154,"Web Development",Toptal,Beginner,Canada,"Bank Transfer",153,9358,19.43,74.47,4.39,10,Fixed,48.93,407
155,"Data Entry",PeoplePerHour,Intermediate,Canada,"Bank Transfer",79,3643,36.02,99.28,4.59,19,Hourly,64.57,64
156,"Digital Marketing",Upwork,Beginner,Asia,"Mobile Banking",233,9102,60.35,62.1,3.63,82,Fixed,11.13,145
157,"App Development",Upwork,Expert,"Middle East",PayPal,66,343,35.11,83.61,4.71,30,Fixed,67.29,301
158,"Content Writing",Toptal,Expert,Europe,Crypto,62,9241,63.01,88.08,4.81,30,Hourly,12.81,124
159,"Graphic Design",Freelancer,Expert,Australia,"Bank Transfer",278,3735,96.85,61.88,3.55,25,Hourly,72.29,311
160,"Digital Marketing",Fiverr,Expert,Asia,PayPal,112,8066,68.72,86.41,4.97,88,Fixed,79.44,190
161,"Content Writing",Upwork,Expert,Canada,Crypto,191,7812,39.45,68.39,3.28,74,Fixed,30.58,262
162,"Web Development",Freelancer,Intermediate,UK,"Mobile Banking",233,6896,93.9,81.62,3.4,66,Fixed,24.72,489
163,"Graphic Design",PeoplePerHour,Expert,USA,"Bank Transfer",52,7634,58.74,81.68,3.37,35,Fixed,63.58,360
164,"Content Writing",Freelancer,Beginner,Canada,"Mobile Banking",272,7360,17.2,76.79,4.79,51,Fixed,27.71,449
165,"Content Writing",Toptal,Intermediate,UK,"Mobile Banking",219,5406,52.4,54.51,4.31,71,Hourly,70.59,295
166,"Customer Support",PeoplePerHour,Beginner,USA,"Mobile Banking",294,336,67.1,91.77,3.3,71,Hourly,17.2,181
167,"Customer Support",PeoplePerHour,Expert,Europe,Crypto,258,8691,84.63,66.04,3.88,27,Fixed,18.82,158
168,"Customer Support",Freelancer,Beginner,Canada,"Mobile Banking",91,6636,93.97,59.33,4.23,10,Hourly,78.54,352
169,"Data Entry",Toptal,Intermediate,Canada,Crypto,185,5353,35.15,52.04,3.17,43,Hourly,57.17,307
170,SEO,Upwork,Intermediate,Asia,Crypto,29,3166,19.77,79.54,4.76,55,Fixed,69.28,477
171,"Digital Marketing",Freelancer,Intermediate,Asia,"Mobile Banking",226,5924,12.01,83.88,4.61,71,Hourly,32.7,286
172,"Data Entry",Upwork,Beginner,UK,"Mobile Banking",53,7020,75.14,50.83,4.01,6,Fixed,57.35,161
173,"App Development",Freelancer,Intermediate,"Middle East",PayPal,179,8198,80.54,75.6,4.93,6,Hourly,51.6,262
174,"Graphic Design",Upwork,Beginner,Asia,"Bank Transfer",278,8494,43.89,61.32,3.84,77,Hourly,52.22,216
175,SEO,Freelancer,Expert,Australia,PayPal,39,9661,42.61,82.26,4.97,48,Hourly,57.78,399
176,"Content Writing",PeoplePerHour,Expert,Europe,"Bank Transfer",221,1285,95.65,58.72,4.34,77,Hourly,50.28,405
177,"Data Entry",Fiverr,Beginner,Australia,"Bank Transfer",213,1049,92.08,84.55,4.27,2,Hourly,40.03,483
178,"Customer Support",PeoplePerHour,Intermediate,Canada,PayPal,164,3810,27.16,69.34,3.33,83,Fixed,29.31,180
179,SEO,Upwork,Beginner,Australia,PayPal,11,4166,79.18,96.84,4.76,51,Hourly,63.8,90
180,"App Development",Toptal,Beginner,USA,"Bank Transfer",273,4461,64.16,56.88,3.85,61,Fixed,25.84,16
181,"Digital Marketing",PeoplePerHour,Beginner,Europe,"Bank Transfer",130,5607,19.65,67.05,3.32,19,Hourly,58.46,124
182,"App Development",Fiverr,Expert,Australia,"Bank Transfer",94,9688,38.89,55.67,3.03,2,Hourly,26.33,259
183,"Graphic Design",Upwork,Beginner,USA,Crypto,46,5402,21.86,96.23,4.12,51,Hourly,53.77,444
184,"Web Development",PeoplePerHour,Expert,UK,"Bank Transfer",163,3733,33.04,93.87,4.05,26,Fixed,62.3,377
185,"Data Entry",Freelancer,Beginner,Australia,"Mobile Banking",206,2311,63.45,62.9,4.44,70,Hourly,25.31,354
186,"Customer Support",Toptal,Expert,Europe,"Mobile Banking",286,1903,40.65,83,4.78,20,Hourly,14.2,488
187,"Graphic Design",Upwork,Beginner,USA,"Mobile Banking",292,8841,42.44,90.86,3.16,23,Fixed,19.17,213
188,"Web Development",PeoplePerHour,Beginner,Australia,PayPal,95,6945,56.27,77.76,4.46,54,Fixed,52.42,238
189,"Customer Support",Upwork,Intermediate,UK,PayPal,129,3040,13.29,76.48,3.37,15,Fixed,69.46,179
190,"Customer Support",Freelancer,Intermediate,Australia,PayPal,130,912,75.19,62.09,4.72,6,Hourly,13.15,418
191,"Customer Support",Fiverr,Beginner,USA,"Bank Transfer",56,4577,43.16,54.66,4.64,35,Hourly,61.39,171
192,"Data Entry",PeoplePerHour,Beginner,Australia,"Mobile Banking",107,1269,50.64,94.86,4.08,75,Hourly,33.89,142
193,"Graphic Design",Upwork,Beginner,Europe,"Bank Transfer",191,3845,97.56,95.02,4.42,8,Hourly,43.5,316
194,"Customer Support",Upwork,Beginner,Canada,Crypto,209,577,37.71,81.66,3.63,57,Fixed,75.02,243
195,"App Development",Upwork,Intermediate,USA,Crypto,18,7419,66.58,66.95,3.94,50,Fixed,33.24,231
196,"Graphic Design",Fiverr,Expert,USA,PayPal,108,2972,42.29,67.46,4.64,49,Hourly,42.57,171
197,SEO,Upwork,Beginner,USA,Crypto,121,5899,89.96,86.3,3.92,88,Fixed,10.96,276
198,"App Development",Toptal,Intermediate,USA,"Mobile Banking",97,1212,85.44,94.86,3.72,21,Fixed,15.71,76
199,"Data Entry",Toptal,Beginner,Australia,Crypto,148,896,27.95,94.35,3.99,36,Fixed,28.1,302
200,"Customer Support",Upwork,Beginner,Europe,PayPal,114,7009,70.72,88.99,4.66,71,Hourly,11.95,330
201,"Graphic Design",Toptal,Expert,UK,"Bank Transfer",167,3136,11.19,82.1,3.67,69,Fixed,54.2,48
202,"Content Writing",PeoplePerHour,Beginner,Europe,Crypto,57,3333,96.5,54.21,3.35,58,Hourly,39.85,436
203,"Data Entry",Toptal,Beginner,USA,"Mobile Banking",7,3373,38.15,58.08,4.42,63,Hourly,48.37,247
204,"Graphic Design",Upwork,Expert,"Middle East","Mobile Banking",72,495,84.03,94.93,4.65,16,Hourly,22.23,282
205,SEO,Freelancer,Expert,Australia,"Mobile Banking",250,1075,35.25,80.32,3.2,6,Fixed,30.72,286
206,"Customer Support",PeoplePerHour,Expert,"Middle East","Bank Transfer",142,1409,65.11,50.46,3.48,78,Fixed,56.47,427
207,"Web Development",Fiverr,Expert,Australia,"Mobile Banking",291,8260,98.44,55.07,3.28,52,Fixed,77.57,31
208,"Customer Support",Upwork,Intermediate,USA,PayPal,70,6163,88.29,83.18,3.7,2,Fixed,13.53,499
209,"Web Development",Fiverr,Intermediate,Australia,PayPal,159,8802,20.23,50.25,3.9,89,Hourly,72.33,157
210,"Content Writing",Freelancer,Intermediate,USA,"Mobile Banking",91,521,57.01,58.04,4.5,77,Hourly,50.38,17
211,"Data Entry",Fiverr,Beginner,Europe,Crypto,37,77,38.11,77.44,4.3,18,Hourly,49.47,380
212,SEO,Upwork,Expert,Asia,"Mobile Banking",72,8801,46.26,84.59,4.24,81,Fixed,45.02,62
213,"Graphic Design",Upwork,Expert,Canada,PayPal,191,3286,36.84,82.6,3.7,76,Fixed,14.86,127
214,"Graphic Design",Freelancer,Intermediate,Australia,PayPal,196,9186,36.92,61.21,4.68,35,Fixed,16.29,15
215,"Web Development",Upwork,Beginner,USA,PayPal,217,3998,56.54,85.61,3.94,86,Hourly,52.06,162
216,SEO,Freelancer,Beginner,"Middle East",Crypto,92,6222,23.24,61.86,4.96,39,Hourly,33.87,445
217,"App Development",Freelancer,Beginner,USA,Crypto,112,2029,56.05,66.27,4.27,1,Fixed,74.21,250
218,"Content Writing",Upwork,Intermediate,"Middle East",Crypto,244,4971,31.5,87.32,3.25,37,Hourly,38.46,136
219,"Web Development",Toptal,Beginner,Australia,PayPal,220,9057,32.45,82.48,4.35,21,Hourly,20.03,317
220,"Web Development",Freelancer,Beginner,UK,"Bank Transfer",181,2376,75.18,92.46,3.65,1,Fixed,60.03,294
221,"Content Writing",Upwork,Beginner,"Middle East","Mobile Banking",57,2380,7.81,82.88,4.37,4,Fixed,30.53,178
222,"Data Entry",Toptal,Expert,USA,"Mobile Banking",53,7696,41.19,78.42,3.14,58,Hourly,46.78,228
223,"Graphic Design",Freelancer,Intermediate,Australia,PayPal,118,1052,43.72,54.68,3.35,1,Fixed,58.85,370
224,"Data Entry",Toptal,Expert,USA,Crypto,99,9784,51.09,68.39,4.71,13,Hourly,73.02,393
225,SEO,PeoplePerHour,Expert,UK,"Bank Transfer",29,6498,68.56,63.26,3.45,46,Fixed,65.45,179
226,"App Development",PeoplePerHour,Intermediate,Canada,"Bank Transfer",136,6887,40.12,62.2,4.67,47,Hourly,57.35,395
227,"Customer Support",Toptal,Expert,Asia,Crypto,183,6517,25.25,98.65,3.56,81,Fixed,57.57,71
